name,currency_alphabetic_code,currency_country_name,currency_name
Afghanistan,AFN,AFGHANISTAN,Afghani
Albania,ALL,ALBANIA,Lek
Algeria,DZD,ALGERIA,Algerian Dinar
American Samoa,USD,AMERICAN SAMOA,US Dollar
Andorra,EUR,ANDORRA,Euro
Angola,AOA,ANGOLA,Kwanza
Anguilla,XCD,ANGUILLA,East Caribbean Dollar
Antarctica,,ANTARCTICA,No universal currency
Antigua and Barbuda,XCD,ANTIGUA AND BARBUDA,East Caribbean Dollar
Argentina,ARS,ARGENTINA,Argentine Peso
Armenia,AMD,ARMENIA,Armenian Dram
Aruba,AWG,ARUBA,Aruban Florin
Australia,AUD,AUSTRALIA,Australian Dollar
Austria,EUR,AUSTRIA,Euro
Azerbaijan,AZN,AZERBAIJAN,Azerbaijanian Manat
Bahamas,BSD,BAHAMAS,Bahamian Dollar
Bahrain,BHD,BAHRAIN,Bahraini Dinar
Bangladesh,BDT,BANGLADESH,Taka
Barbados,BBD,BARBADOS,Barbados Dollar
Belarus,BYR,BELARUS,Belarussian Ruble
Belgium,EUR,BELGIUM,Euro
Belize,BZD,BELIZE,Belize Dollar
Benin,XOF,BENIN,CFA Franc BCEAO
Bermuda,BMD,BERMUDA,Bermudian Dollar
Bhutan,INR,BHUTAN,Indian Rupee
Bolivia,BOB,"BOLIVIA, PLURINATIONAL STATE OF",Boliviano
"Bonaire, Sint Eustatius and Saba",USD,"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar
Bosnia and Herzegovina,BAM,BOSNIA AND HERZEGOVINA,Convertible Mark
Botswana,BWP,BOTSWANA,Pula
Bouvet Island,NOK,BOUVET ISLAND,Norwegian Krone
Brazil,BRL,BRAZIL,Brazilian Real
British Indian Ocean Territory,USD,BRITISH INDIAN OCEAN TERRITORY,US Dollar
Brunei,BND,BRUNEI DARUSSALAM,Brunei Dollar
Bulgaria,BGN,BULGARIA,Bulgarian Lev
Burkina Faso,XOF,BURKINA FASO,CFA Franc BCEAO
Burundi,BIF,BURUNDI,Burundi Franc
Cambodia,KHR,CAMBODIA,Riel
Cameroon,XAF,CAMEROON,CFA Franc BEAC
Canada,CAD,CANADA,Canadian Dollar
Cape Verde,CVE,CABO VERDE,Cabo Verde Escudo
Cayman Islands,KYD,CAYMAN ISLANDS,Cayman Islands Dollar
Central African Republic,XAF,CENTRAL AFRICAN REPUBLIC,CFA Franc BEAC
Chad,XAF,CHAD,CFA Franc BEAC
Chile,CLP,CHILE,Chilean Peso
China,CNY,CHINA,Yuan Renminbi
Christmas Island,AUD,CHRISTMAS ISLAND,Australian Dollar
Cocos (Keeling) Islands,AUD,COCOS (KEELING) ISLANDS,Australian Dollar
Colombia,COP,COLOMBIA,Colombian Peso
Comoros,KMF,COMOROS,Comoro Franc
Congo,XAF,CONGO,CFA Franc BEAC
"Congo, the Democratic Republic of the",,,
Cook Islands,NZD,COOK ISLANDS,New Zealand Dollar
Costa Rica,CRC,COSTA RICA,Costa Rican Colon
Croatia,HRK,CROATIA,Croatian Kuna
Cuba,CUP,CUBA,Cuban Peso
Curacao,ANG,CURAÇAO,Netherlands Antillean Guilder
Cyprus,EUR,CYPRUS,Euro
Czech Republic,CZK,CZECH REPUBLIC,Czech Koruna
Cote d'Ivoire,XOF,CÔTE D'IVOIRE,CFA Franc BCEAO
Denmark,DKK,DENMARK,Danish Krone
Djibouti,DJF,DJIBOUTI,Djibouti Franc
Dominica,XCD,DOMINICA,East Caribbean Dollar
Dominican Republic,DOP,DOMINICAN REPUBLIC,Dominican Peso
Ecuador,USD,ECUADOR,US Dollar
Egypt,EGP,EGYPT,Egyptian Pound
El Salvador,USD,EL SALVADOR,US Dollar
